data set,fold,shrinkage,depth,accuracy
carcinogenesis,5,0.2,2,0.48484848484848486
carcinogenesis,5,0.2,4,0.48484848484848486
carcinogenesis,5,0.2,6,0.48484848484848486
carcinogenesis,5,0.2,8,0.48484848484848486
carcinogenesis,5,0.4,2,0.48484848484848486
carcinogenesis,5,0.4,4,0.48484848484848486
carcinogenesis,5,0.4,6,0.48484848484848486
carcinogenesis,5,0.4,8,0.48484848484848486
carcinogenesis,5,0.6,2,0.48484848484848486
carcinogenesis,5,0.6,4,0.48484848484848486
carcinogenesis,5,0.6,6,0.48484848484848486
carcinogenesis,5,0.6,8,0.48484848484848486
carcinogenesis,6,0.05,2,0.5454545454545454
carcinogenesis,6,0.05,4,0.5454545454545454
carcinogenesis,6,0.05,6,0.5454545454545454
carcinogenesis,6,0.05,8,0.5454545454545454
carcinogenesis,6,0.2,2,0.5454545454545454
carcinogenesis,6,0.2,4,0.5454545454545454
carcinogenesis,6,0.2,6,0.5454545454545454
carcinogenesis,6,0.2,8,0.5454545454545454
carcinogenesis,6,0.4,2,0.5454545454545454
carcinogenesis,6,0.4,4,0.5454545454545454
carcinogenesis,6,0.4,6,0.5454545454545454
carcinogenesis,6,0.4,8,0.5454545454545454
carcinogenesis,6,0.6,2,0.5454545454545454
carcinogenesis,6,0.6,4,0.5454545454545454
carcinogenesis,6,0.6,6,0.5454545454545454
carcinogenesis,6,0.6,8,0.5454545454545454
carcinogenesis,7,0.05,2,0.36363636363636365
carcinogenesis,7,0.05,4,0.36363636363636365
carcinogenesis,7,0.05,6,0.36363636363636365
carcinogenesis,7,0.05,8,0.36363636363636365
carcinogenesis,7,0.2,2,0.36363636363636365
carcinogenesis,7,0.2,4,0.36363636363636365
carcinogenesis,7,0.2,6,0.36363636363636365
carcinogenesis,7,0.2,8,0.36363636363636365
carcinogenesis,7,0.4,2,0.36363636363636365
carcinogenesis,7,0.4,4,0.36363636363636365
carcinogenesis,7,0.4,6,0.36363636363636365
carcinogenesis,7,0.4,8,0.36363636363636365
carcinogenesis,7,0.6,2,0.36363636363636365
carcinogenesis,7,0.6,4,0.36363636363636365
carcinogenesis,7,0.6,6,0.36363636363636365
carcinogenesis,7,0.6,8,0.36363636363636365
carcinogenesis,8,0.05,2,0.45454545454545453
carcinogenesis,8,0.05,4,0.45454545454545453
carcinogenesis,8,0.05,6,0.45454545454545453
carcinogenesis,8,0.05,8,0.45454545454545453
carcinogenesis,8,0.2,2,0.45454545454545453
carcinogenesis,8,0.2,4,0.45454545454545453
carcinogenesis,8,0.2,6,0.45454545454545453
carcinogenesis,8,0.2,8,0.45454545454545453
carcinogenesis,8,0.4,2,0.45454545454545453
carcinogenesis,8,0.4,4,0.45454545454545453
carcinogenesis,8,0.4,6,0.45454545454545453
carcinogenesis,8,0.4,8,0.45454545454545453
carcinogenesis,8,0.6,2,0.45454545454545453
carcinogenesis,8,0.6,4,0.45454545454545453
carcinogenesis,8,0.6,6,0.45454545454545453
carcinogenesis,8,0.6,8,0.45454545454545453
carcinogenesis,9,0.05,2,0.3125
carcinogenesis,9,0.05,4,0.3125
carcinogenesis,9,0.05,6,0.3125
carcinogenesis,9,0.05,8,0.3125
carcinogenesis,9,0.2,2,0.3125
carcinogenesis,9,0.2,4,0.3125
carcinogenesis,9,0.2,6,0.3125
carcinogenesis,9,0.2,8,0.3125
carcinogenesis,9,0.4,2,0.3125
carcinogenesis,9,0.4,4,0.3125
carcinogenesis,9,0.4,6,0.3125
carcinogenesis,9,0.4,8,0.3125
carcinogenesis,9,0.6,2,0.3125
carcinogenesis,9,0.6,4,0.3125
carcinogenesis,9,0.6,6,0.3125
carcinogenesis,9,0.6,8,0.3125
imdb_big,0,0.05,2,0.5657596371882087
imdb_big,0,0.05,4,0.564625850340136
imdb_big,0,0.05,6,0.5634920634920635
imdb_big,0,0.05,8,0.564625850340136
imdb_big,0,0.2,2,0.5589569160997733
imdb_big,0,0.2,4,0.5532879818594104
imdb_big,0,0.2,6,0.5532879818594104
imdb_big,0,0.2,8,0.5600907029478458
imdb_big,0,0.4,2,0.5544217687074829
imdb_big,0,0.4,4,0.546485260770975
imdb_big,0,0.4,6,0.5498866213151927
imdb_big,0,0.4,8,0.5600907029478458
imdb_big,0,0.6,2,0.5430839002267573
imdb_big,0,0.6,4,0.5453514739229025
imdb_big,0,0.6,6,0.5498866213151927
imdb_big,0,0.6,8,0.5532879818594104
imdb_big,1,0.05,2,0.5691609977324263
imdb_big,1,0.05,4,0.5634920634920635
imdb_big,1,0.05,6,0.5668934240362812
imdb_big,1,0.05,8,0.5702947845804989
imdb_big,1,0.2,2,0.5680272108843537
imdb_big,1,0.2,4,0.5578231292517006
imdb_big,1,0.2,6,0.5589569160997733
imdb_big,1,0.2,8,0.564625850340136
imdb_big,1,0.4,2,0.5612244897959183
imdb_big,1,0.4,4,0.5408163265306123
imdb_big,1,0.4,6,0.5566893424036281
imdb_big,1,0.4,8,0.5510204081632653
imdb_big,1,0.6,2,0.5532879818594104
imdb_big,1,0.6,4,0.5351473922902494
imdb_big,1,0.6,6,0.54421768707483
imdb_big,1,0.6,8,0.5430839002267573
imdb_big,2,0.05,2,0.5736961451247166
imdb_big,2,0.05,4,0.5668934240362812
imdb_big,2,0.05,6,0.5668934240362812
imdb_big,2,0.05,8,0.5657596371882087
imdb_big,2,0.2,2,0.5668934240362812
imdb_big,2,0.2,4,0.5657596371882087
imdb_big,2,0.2,6,0.564625850340136
imdb_big,2,0.2,8,0.5589569160997733
imdb_big,2,0.4,2,0.5612244897959183
imdb_big,2,0.4,4,0.5600907029478458
imdb_big,2,0.4,6,0.5566893424036281
imdb_big,2,0.4,8,0.5657596371882087
imdb_big,2,0.6,2,0.5578231292517006
imdb_big,2,0.6,4,0.5532879818594104
imdb_big,2,0.6,6,0.5589569160997733
imdb_big,2,0.6,8,0.5544217687074829
imdb_big,3,0.05,2,0.5680272108843537
imdb_big,3,0.05,4,0.5555555555555556
imdb_big,3,0.05,6,0.5691609977324263
imdb_big,3,0.05,8,0.5691609977324263
imdb_big,3,0.2,2,0.562358276643991
imdb_big,3,0.2,4,0.5612244897959183
imdb_big,3,0.2,6,0.5600907029478458
imdb_big,3,0.2,8,0.5600907029478458
imdb_big,3,0.4,2,0.5532879818594104
imdb_big,3,0.4,4,0.5510204081632653
imdb_big,3,0.4,6,0.5555555555555556
imdb_big,3,0.4,8,0.5612244897959183
imdb_big,3,0.6,2,0.546485260770975
imdb_big,3,0.6,4,0.5498866213151927
imdb_big,3,0.6,6,0.5498866213151927
imdb_big,3,0.6,8,0.54421768707483
imdb_big,4,0.05,2,0.572562358276644
imdb_big,4,0.05,4,0.5668934240362812
imdb_big,4,0.05,6,0.5680272108843537
imdb_big,4,0.05,8,0.5691609977324263
imdb_big,4,0.2,2,0.5680272108843537
imdb_big,4,0.2,4,0.562358276643991
imdb_big,4,0.2,6,0.5600907029478458
imdb_big,4,0.2,8,0.5657596371882087
imdb_big,4,0.4,2,0.5578231292517006
imdb_big,4,0.4,4,0.5544217687074829
imdb_big,4,0.4,6,0.5657596371882087
imdb_big,4,0.4,8,0.562358276643991
imdb_big,4,0.6,2,0.5589569160997733
imdb_big,4,0.6,4,0.5566893424036281
imdb_big,4,0.6,6,0.5578231292517006
imdb_big,4,0.6,8,0.5510204081632653
imdb_big,5,0.05,2,0.5702947845804989
imdb_big,5,0.05,4,0.5634920634920635
imdb_big,5,0.05,6,0.5657596371882087
imdb_big,5,0.05,8,0.5680272108843537
imdb_big,5,0.2,2,0.5634920634920635
imdb_big,5,0.2,4,0.562358276643991
imdb_big,5,0.2,6,0.564625850340136
imdb_big,5,0.2,8,0.5657596371882087
imdb_big,5,0.4,2,0.5589569160997733
imdb_big,5,0.4,4,0.5555555555555556
imdb_big,5,0.4,6,0.5578231292517006
imdb_big,5,0.4,8,0.5566893424036281
imdb_big,5,0.6,2,0.5555555555555556
imdb_big,5,0.6,4,0.5532879818594104
imdb_big,5,0.6,6,0.5566893424036281
imdb_big,5,0.6,8,0.5544217687074829
imdb_big,6,0.05,2,0.5698070374574348
imdb_big,6,0.05,4,0.5664018161180476
imdb_big,6,0.05,6,0.5675368898978433
imdb_big,6,0.05,8,0.565266742338252
imdb_big,6,0.2,2,0.5675368898978433
imdb_big,6,0.2,4,0.5618615209988649
imdb_big,6,0.2,6,0.5641316685584563
imdb_big,6,0.2,8,0.565266742338252
imdb_big,6,0.4,2,0.565266742338252
imdb_big,6,0.4,4,0.5584562996594779
imdb_big,6,0.4,6,0.5641316685584563
imdb_big,6,0.4,8,0.5618615209988649
imdb_big,6,0.6,2,0.5641316685584563
imdb_big,6,0.6,4,0.5584562996594779
imdb_big,6,0.6,6,0.5595913734392736
imdb_big,6,0.6,8,0.5629965947786606
imdb_big,7,0.05,2,0.5743473325766175
imdb_big,7,0.05,4,0.5675368898978433
imdb_big,7,0.05,6,0.5686719636776391
imdb_big,7,0.05,8,0.5743473325766175
imdb_big,7,0.2,2,0.5686719636776391
imdb_big,7,0.2,4,0.5595913734392736
imdb_big,7,0.2,6,0.5664018161180476
imdb_big,7,0.2,8,0.5629965947786606
imdb_big,7,0.4,2,0.5629965947786606
imdb_big,7,0.4,4,0.5561861520998865
imdb_big,7,0.4,6,0.5527809307604994
imdb_big,7,0.4,8,0.5607264472190693
imdb_big,7,0.6,2,0.5641316685584563
imdb_big,7,0.6,4,0.5505107832009081
imdb_big,7,0.6,6,0.5505107832009081
imdb_big,7,0.6,8,0.5561861520998865
imdb_big,8,0.05,2,0.5720771850170261
imdb_big,8,0.05,4,0.5709421112372304
imdb_big,8,0.05,6,0.5732122587968218
imdb_big,8,0.05,8,0.5686719636776391
imdb_big,8,0.2,2,0.5664018161180476
imdb_big,8,0.2,4,0.5664018161180476
imdb_big,8,0.2,6,0.5709421112372304
imdb_big,8,0.2,8,0.5698070374574348
imdb_big,8,0.4,2,0.5686719636776391
imdb_big,8,0.4,4,0.5629965947786606
imdb_big,8,0.4,6,0.5629965947786606
imdb_big,8,0.4,8,0.5618615209988649
imdb_big,8,0.6,2,0.5573212258796821
imdb_big,8,0.6,4,0.5550510783200908
imdb_big,8,0.6,6,0.5595913734392736
imdb_big,8,0.6,8,0.5573212258796821
imdb_big,9,0.05,2,0.565266742338252
imdb_big,9,0.05,4,0.5664018161180476
imdb_big,9,0.05,6,0.5618615209988649
imdb_big,9,0.05,8,0.5629965947786606
